Date,Close
30-Jul-17,17.611
15-Jul-17,17.611
1-Jul-17,17.611
15-Jun-17,17.39
15-May-17,16.774
15-Apr-17,15.962
15-Mar-17,15.193
15-Feb-17,14.564
15-Jan-17,14.255
15-Dec-17,14.774
15-Nov-17,15.252
15-Oct-17,16.29
15-Sep-17,17.049
31-Aug-17,17.589
15-Aug-17,17.589
1-Aug-17,17.589
